SYMBOL,p value,p (rank),Fold change,ln(p),Fold (rank),log(fold),which
Hhex,0.00125888992513712,938.0,1.25166324758031,-6.677524958133672,117.0,0.32384646610840295,both
Zfp532,0.000816655651002196,667.0,1.23905643663329,-7.110293031753322,152.0,0.3092419009544324,both
Ensa,0.000247073841003753,226.0,1.20426344396777,-8.305823314581174,283.0,0.26815102974790767,both
Slc25a16,5.6866176362691e-05,67.0,1.16005239416883,-9.774809833604513,597.0,0.21418996664639883,both
Depdc1b,8.3859568207001e-05,88.0,1.17059469248109,-9.386366965209383,500.0,0.22724164256377619,both
Map4k3,0.00104308409469422,816.0,1.2421311226874,-6.865573478510749,143.0,0.31281747634894186,both
Zfp131,5.15547866524191e-05,59.0,1.15412589191489,-9.872865497254912,648.0,0.20680060157022132,both
2410042D21Rik,1.59841835785102e-05,19.0,1.12024561871195,-11.043910850982,1099.0,0.16381508411157172,both
Rbm5,0.000916932793524783,751.0,1.23505992283284,-6.994476377897669,166.0,0.30458104041443396,both
Tlk1,0.000421554102457367,374.0,1.21254764999919,-7.771562431802433,245.0,0.27804144261256775,both
Slc40a1,0.000412936394649455,367.0,1.21154908159415,-7.792216984976408,249.0,0.2768528516222409,both
Spc25,0.000231613249763285,210.0,1.19478936095172,-8.370441604215813,334.0,0.25675629628449925,both
Bxdc2,0.000342705210808703,307.0,1.20566532980265,-7.978639924038226,276.0,0.26982949758647373,both
Cdk2,2.08671633634694e-05,26.0,1.12475010678761,-10.777333765448473,1023.0,0.16960450389135162,both
Gnl3,0.000667277671648536,555.0,1.2233874987702,-7.31230429935403,209.0,0.29088143903170277,both
Cramp1l,0.00109410240032948,849.0,1.23645418029407,-6.817820977599027,162.0,0.306208778274295,both
Fnip1,0.000845557665105523,701.0,1.22868485527535,-7.0755141895793185,191.0,0.29711492707437426,both
Trak2,0.000222681602964236,200.0,1.1876029707069,-8.409767596164745,385.0,0.2480526072438348,both
Kif11,0.000196892594125364,179.0,1.18334712727417,-8.532852185391391,417.0,0.2428733410798695,both
Tmem55b,0.000566643438789649,475.0,1.21366657604154,-7.475780307799412,241.0,0.2793721323344721,both
Schip1,0.000564389617672023,471.0,1.21329276330128,-7.479765733491411,242.0,0.27892770973363457,both
Mcam,0.000831727790390646,686.0,1.22387688438803,-7.0920053456877294,208.0,0.2914584377558258,both
Dusp6,3.6410700205991e-05,40.0,1.13355233699294,-10.220647864816806,886.0,0.18085100296846493,both
Bbc3,0.0014242736011868,1017.0,1.23869050372489,-6.554093348783158,154.0,0.30881576413837114,both
